conditions,genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
6h-2e10,Rabggtb,6.434295035757701e-11,-0.4851320600514675,0.413,0.543,8.873536283813446e-7
6h-2e10,Nfkb1,6.480361421106256e-11,-0.29320215723255094,0.894,0.915,8.937066435847637e-7
6h-2e10,Pfdn2,6.489340305743357e-11,-0.2853555409419827,0.669,0.777,8.949449215650664e-7
6h-2e10,Nfkbid,7.199586847668863e-11,-0.6455923174179015,0.315,0.441,9.928950221620128e-7
6h-2e10,Eif3a,1.1654487487751285e-10,-0.2706959242518998,0.93,0.96,1.6072703694357796e-6
6h-2e10,Eif4a1,1.2072843785624161e-10,-0.19366108334619447,0.993,0.991,1.664965886475428e-6
6h-2e10,Nip7,1.2337034564454427e-10,-0.5066927055995055,0.497,0.603,1.7014004367839102e-6
6h-2e10,Junb,1.4244358171122245e-10,-0.39451381501212857,0.717,0.795,1.964439435379469e-6
6h-2e10,Id2,1.4907423634508796e-10,0.7502799474470871,0.294,0.184,2.055882793435108e-6
6h-2e10,Fnip1,1.6261017709708134e-10,0.5178270215820209,0.599,0.482,2.2425569523458487e-6
6h-2e10,Tomm5,2.1329698139839113e-10,-0.33137503737603224,0.766,0.836,2.941578670465212e-6
6h-2e10,Cdv3,2.385428484936173e-10,-0.3761468992919468,0.656,0.752,3.2897444235754762e-6
6h-2e10,Icos,2.718163061877999e-10,0.5041070342442626,0.559,0.433,3.7486186786359483e-6
6h-2e10,Chchd4,2.8807206045426665e-10,-0.5919617262332636,0.325,0.454,3.972801785724791e-6
6h-2e10,Dnttip2,3.520123106326519e-10,-0.43442237217093815,0.481,0.606,4.854601775934902e-6
6h-2e10,Gnl3,3.711209611009151e-10,-0.4078123110737276,0.528,0.642,5.11812917454272e-6
6h-2e10,Plec,3.791676233615451e-10,0.5736381994391775,0.49,0.368,5.229100693779068e-6
6h-2e10,Tmem38b,4.4423227075421496e-10,-0.5291276003347921,0.344,0.476,6.1264072459713785e-6
